Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a ,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
E0,30/09/2017,Bournemouth,Leicester,0,0,,,95,,,1.81,2.64,3.55,2.78
E0,30/09/2017,Chelsea,Man City,0,1,,67,93,,,1.7,2.77,3.48,2.69
E0,30/09/2017,Huddersfield,Tottenham,0,4,,"9,16,24,91",93,,,1.74,9,4.92,1.42
E0,30/09/2017,Man United,Crystal Palace,4,0,"3,35,49,86",,93,,,1.58,1.2,7.8,17
E0,30/09/2017,Stoke,Southampton,2,1,"40,85",75,97,,,2.17,2.95,3.32,2.63
E0,30/09/2017,West Brom,Watford,2,2,"18,21","37,94",95,,,2.44,2.17,3.32,3.87
E0,30/09/2017,West Ham,Swansea,1,0,90,,95,,,2.01,1.84,3.64,4.94
E0,01/10/2017,Arsenal,Brighton,2,0,"16,56",,93,,,1.55,1.26,6.65,13.5
E0,01/10/2017,Everton,Burnley,0,1,,21,94,,,2.08,1.71,3.77,5.75
E0,01/10/2017,Newcastle,Liverpool,1,1,36,29,93,,,1.68,5.02,4.14,1.72
E0,14/10/2017,Burnley,West Ham,1,1,85,19,94,,27,2.22,3.08,3.3,2.51
E0,14/10/2017,Crystal Palace,Chelsea,2,1,"11,45",18,95,,,1.81,7.65,4.62,1.49
E0,14/10/2017,Liverpool,Man United,0,0,,,93,,,1.9,2.75,3.29,2.82
E0,14/10/2017,Man City,Stoke,7,2,"17,19,27,55,60,62,79","44,47",93,,,1.31,1.14,10.5,20
E0,14/10/2017,Swansea,Huddersfield,2,0,"42,48",,95,,,2.52,2.09,3.32,4.16
E0,14/10/2017,Tottenham,Bournemouth,1,0,47,,96,,,1.38,1.27,7.25,11.5
E0,14/10/2017,Watford,Arsenal,2,1,"71,91",39,94,,,1.55,5,4.2,1.72
E0,15/10/2017,Brighton,Everton,1,1,82,90,94,,,2.43,3.24,3.15,2.57
E0,15/10/2017,Southampton,Newcastle,2,2,"49,75","20,51",95,,,2.11,1.86,3.57,4.92
E0,16/10/2017,Leicester,West Brom,1,1,80,63,95,,,2.1,2,3.38,4.45
E0,20/10/2017,West Ham,Brighton,0,3,,"10,45,75",93,,,2.24,1.79,3.57,5.54
E0,21/10/2017,Chelsea,Watford,4,2,"12,71,87,94","45,49",95,,,1.6,1.37,5.35,9.6
E0,21/10/2017,Huddersfield,Man United,2,1,"28,33",78,94,,,1.95,9.75,4.9,1.4
E0,21/10/2017,Man City,Burnley,3,0,"30,73,75",,93,,,1.27,1.12,11.5,24
E0,21/10/2017,Newcastle,Crystal Palace,1,0,86,,94,,,2.05,1.88,3.65,4.64
E0,21/10/2017,Southampton,West Brom,1,0,85,,94,,,2.37,1.9,3.31,5.19
E0,21/10/2017,Stoke,Bournemouth,1,2,63,"16,18",95,,,1.94,2.16,3.55,3.62
E0,21/10/2017,Swansea,Leicester,1,2,56,"25,49",94,,,2.11,2.89,3.27,2.71
E0,22/10/2017,Everton,Arsenal,2,5,"12,92","40,53,74,90,94",95,68,,1.81,4.7,3.88,1.82
E0,22/10/2017,Tottenham,Liverpool,4,1,"4,12,45,56",24,92,,,1.66,2.24,3.62,3.36
E0,28/10/2017,Arsenal,Swansea,2,1,"51,58",22,93,,,1.41,1.2,8.3,15
E0,28/10/2017,Bournemouth,Chelsea,0,1,,51,94,,,1.63,6.2,4.4,1.58
E0,28/10/2017,Crystal Palace,West Ham,2,2,"50,96","31,43",97,,,2.08,2.56,3.19,3.16
E0,28/10/2017,Liverpool,Huddersfield,3,0,"50,58,75",,92,,,1.48,1.25,6.7,14
E0,28/10/2017,Man United,Tottenham,1,0,81,,93,,,2.15,2.1,3.43,3.96
E0,28/10/2017,Watford,Stoke,0,1,,16,96,,,1.91,2.02,3.57,4.07
E0,28/10/2017,West Brom,Man City,2,3,"13,91","10,15,64",94,,,1.53,11,6.4,1.29
E0,29/10/2017,Brighton,Southampton,1,1,52,7,93,,,2.44,3.42,3.29,2.36
E0,29/10/2017,Leicester,Everton,2,0,"18,29",,93,,,1.94,2.08,3.45,4
E0,30/10/2017,Burnley,Newcastle,1,0,74,,93,,,2.3,3.22,3.13,2.56
E0,04/11/2017,Huddersfield,West Brom,1,0,45,,96,57,,2.75,2.99,2.92,2.91
E0,04/11/2017,Newcastle,Bournemouth,0,1,,91,93,,,2.01,1.83,3.63,5
E0,04/11/2017,Southampton,Burnley,0,1,,81,92,,,2.28,1.67,3.7,6.58
E0,04/11/2017,Stoke,Leicester,2,2,"39,73","33,6",94,,,2,2.65,3.26,2.97
E0,04/11/2017,Swansea,Brighton,0,1,,29,95,,,2.42,2.72,2.99,3.14
E0,04/11/2017,West Ham,Liverpool,1,4,55,"21,24,56,76",93,,,1.63,6.29,4.68,1.54
E0,05/11/2017,Chelsea,Man United,1,0,55,,94,,,2.28,2.62,3.1,3.16
E0,05/11/2017,Everton,Watford,3,2,"67,74,91","46,64",102,,,2.02,2.27,3.3,3.61
E0,05/11/2017,Man City,Arsenal,3,1,"19,50,74",65,94,,,1.36,1.41,5.65,7.5
E0,05/11/2017,Tottenham,Crystal Palace,1,0,64,,93,,,1.47,1.34,5.5,10.6
E0,18/11/2017,Arsenal,Tottenham,2,0,"36,41",,94,,,1.62,2.49,3.5,3
E0,18/11/2017,Bournemouth,Huddersfield,4,0,"26,31,70,84",,93,45,,2.16,1.81,3.66,5.16
E0,18/11/2017,Burnley,Swansea,2,0,"29,4",,97,,,2.55,2.41,2.98,3.71
E0,18/11/2017,Crystal Palace,Everton,2,2,"1,35","6,46",93,,,2.18,2.24,3.25,3.75
E0,18/11/2017,Leicester,Man City,0,2,,"45,49",93,,,1.41,8.26,5.65,1.38
E0,18/11/2017,Liverpool,Southampton,3,0,"31,41,68",,93,,,1.65,1.42,5.07,8.47
E0,18/11/2017,Man United,Newcastle,4,1,"37,46,54,70",14,93,,,1.84,1.27,6,15
E0,18/11/2017,West Brom,Chelsea,0,4,,"17,23,38,62",92,,,2.05,6.92,4.36,1.55
E0,19/11/2017,Watford,West Ham,2,0,"11,64",,98,,,1.89,2.32,3.26,3.54
E0,20/11/2017,Brighton,Stoke,2,2,"44,6","28,46",93,,,2.39,2.41,3.19,3.42
E0,24/11/2017,West Ham,Leicester,1,1,45,8,96,,,1.98,2.89,3.27,2.71
E0,25/11/2017,Crystal Palace,Stoke,2,1,"56,91",53,93,,,2.03,1.95,3.63,4.29
E0,25/11/2017,Liverpool,Chelsea,1,1,65,85,93,,,1.69,2.21,3.59,3.45
E0,25/11/2017,Man United,Brighton,1,0,66,,95,,,1.67,1.2,7.45,19
E0,25/11/2017,Newcastle,Watford,0,3,,"19,46,62",93,,,2.01,2.4,3.37,3.26
E0,25/11/2017,Swansea,Bournemouth,0,0,,,95,,,2.18,3.01,3.3,2.6
E0,25/11/2017,Tottenham,West Brom,1,1,74,4,95,,,1.69,1.26,6.6,13.65
E0,26/11/2017,Burnley,Arsenal,0,1,,91,93,,,1.72,6.25,4.2,1.61
E0,26/11/2017,Huddersfield,Man City,1,2,46,"47,84",95,95,,1.46,17,8.3,1.19
E0,26/11/2017,Southampton,Everton,4,1,"18,52,58,87",45,94,,,2.25,1.81,3.72,5
E0,28/11/2017,Brighton,Crystal Palace,0,0,,,93,,,2.44,2.77,3.1,2.97
E0,28/11/2017,Leicester,Tottenham,2,1,"13,46",79,95,,,1.77,5.05,3.7,1.81
E0,28/11/2017,Watford,Man United,2,4,"77,84","19,25,32,86",94,,,1.81,5.25,3.75,1.78
E0,28/11/2017,West Brom,Newcastle,2,2,"46,56","59,83",94,,,2.41,2.47,3.1,3.41
E0,29/11/2017,Arsenal,Huddersfield,5,0,"3,68,69,72,87",,93,,,1.49,1.18,8.3,18.5
E0,29/11/2017,Bournemouth,Burnley,1,2,79,"37,65",95,,,2.19,2.21,3.22,3.88
E0,29/11/2017,Chelsea,Swansea,1,0,55,,94,,,1.53,1.21,7.55,17
E0,29/11/2017,Everton,West Ham,4,0,"18,28,66,78",,93,,,2.02,2.6,3.24,3.06
E0,29/11/2017,Man City,Southampton,2,1,"47,95",75,96,,,1.41,1.25,6.7,13.57
E0,29/11/2017,Stoke,Liverpool,0,3,,"17,77,83",93,,,1.57,6.21,4.58,1.56
E0,02/12/2017,Arsenal,Man United,1,3,49,"4,11,63",95,,74,1.93,2.32,3.43,3.36
E0,02/12/2017,Brighton,Liverpool,1,5,51,"30,31,48,87,89",94,,,1.77,7.25,4.39,1.53
E0,02/12/2017,Chelsea,Newcastle,3,1,"21,33,74",12,93,,,1.61,1.24,6.65,16.5
E0,02/12/2017,Everton,Huddersfield,2,0,"47,73",,93,,,2.04,1.86,3.52,5.01
E0,02/12/2017,Leicester,Burnley,1,0,6,,94,,,2.16,2.1,3.27,4.2
E0,02/12/2017,Stoke,Swansea,2,1,"36,4",3,97,,,2.19,1.81,3.68,5.13
E0,02/12/2017,Watford,Tottenham,1,1,13,25,94,,52,1.69,5.26,4.44,1.65
E0,02/12/2017,West Brom,Crystal Palace,0,0,,,93,,,2.39,2.73,3.1,3.02
E0,03/12/2017,Bournemouth,Southampton,1,1,42,61,93,,,2.16,3.62,3.29,2.27
E0,03/12/2017,Man City,West Ham,2,1,"57,83",44,95,,,1.24,1.11,12.5,26
E0,09/12/2017,Burnley,Watford,1,0,45,,94,,39,2.27,2.85,3.23,2.78
E0,09/12/2017,Crystal Palace,Bournemouth,2,2,"41,44","10,45",95,,,2.08,1.97,3.62,4.23
E0,09/12/2017,Huddersfield,Brighton,2,0,"12,43",,93,,,2.78,2.73,2.91,3.22
E0,09/12/2017,Newcastle,Leicester,2,3,"4,73","20,60,86",95,,,2,2.61,3.27,3.02
