Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
E0,27/10/2018,Watford,Huddersfield,3,0,"10,19,80",,93,,,2.18,1.78,3.53,5.73
E0,28/10/2018,Burnley,Chelsea,0,4,,"22,57,62,91",94,,,1.79,9.53,4.52,1.43
E0,28/10/2018,Crystal Palace,Arsenal,2,2,"46,83","51,56",94,,,1.6,4.57,3.86,1.84
E0,28/10/2018,Man United,Everton,2,1,"27,49",77,96,,,1.81,1.81,3.74,4.95
E0,29/10/2018,Tottenham,Man City,0,1,,6,94,,,1.58,5.42,4.29,1.66
E0,03/11/2018,Arsenal,Liverpool,1,1,82,61,95,,,1.53,3.91,3.94,1.96
E0,03/11/2018,Bournemouth,Man United,1,2,11,"35,91",95,,,1.71,3.9,3.98,1.95
E0,03/11/2018,Cardiff,Leicester,0,1,,55,95,,,2.1,3.45,3.47,2.27
E0,03/11/2018,Everton,Brighton,3,1,"26,50,77",33,94,,,1.96,1.57,4.04,7.24
E0,03/11/2018,Newcastle,Watford,1,0,65,,95,,,2.23,2.85,3.29,2.74
E0,03/11/2018,West Ham,Burnley,4,2,"11,68,84,91","45,77",95,,,2.01,1.57,4.17,6.85
E0,03/11/2018,Wolves,Tottenham,2,3,"68,79","27,30,62",94,,,1.95,3.43,3.38,2.32
E0,04/11/2018,Chelsea,Crystal Palace,3,1,"32,65,70",53,93,,,1.51,1.33,5.53,10.76
E0,04/11/2018,Man City,Southampton,6,1,"6,12,18,45,67,91",30,93,,,1.3,1.12,10.04,27.35
E0,05/11/2018,Huddersfield,Fulham,1,0,29,,94,,,1.95,2.34,3.44,3.32
E0,10/11/2018,Cardiff,Brighton,2,1,"28,9",6,96,,34,2.45,2.58,3.15,3.19
E0,10/11/2018,Crystal Palace,Tottenham,0,1,,66,95,,,1.75,5.48,3.96,1.7
E0,10/11/2018,Huddersfield,West Ham,1,1,6,74,93,,,2.25,3.27,3.27,2.46
E0,10/11/2018,Leicester,Burnley,0,0,,,93,,,1.86,1.49,4.47,7.93
E0,10/11/2018,Newcastle,Bournemouth,2,1,"7,4",45,94,,,2,2.94,3.5,2.55
E0,10/11/2018,Southampton,Watford,1,1,20,82,94,,,2.06,2.34,3.44,3.32
E0,11/11/2018,Arsenal,Wolves,1,1,86,13,96,,,1.62,1.65,4.15,5.71
