Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
P1,06/10/2018,Sp Braga,Rio Ave,1,1,27,34,96,"91,96",,1.65,1.42,4.66,8.73
P1,07/10/2018,Benfica,Porto,1,0,62,,94,82,,2.05,2.51,3.25,3.13
P1,07/10/2018,Boavista,Aves,1,0,71,,97,89,,2.3,2.25,3.18,3.75
P1,07/10/2018,Portimonense,Sp Lisbon,4,2,"30,44,82,92","63,88",95,,,1.71,4.6,3.89,1.81
P1,26/10/2018,Guimaraes,Sp Braga,1,1,14,18,93,,,1.89,3.32,3.49,2.29
P1,26/10/2018,Nacional,Portimonense,0,1,,28,94,,,1.66,2.55,3.63,2.8
P1,27/10/2018,Aves,Santa Clara,1,2,79,"16,23",96,,82,2.09,2.08,3.53,3.81
P1,27/10/2018,Belenenses,Benfica,2,0,"36,42",,95,,,1.93,11.32,5.3,1.32
P1,27/10/2018,Rio Ave,Chaves,1,0,66,,98,,,1.8,1.71,4.02,5.09
P1,28/10/2018,Moreirense,Maritimo,1,0,74,,95,,,2.21,2.14,3.34,3.85
P1,28/10/2018,Porto,Feirense,2,0,"22,8",,94,,,1.46,1.13,9.38,22.05
P1,28/10/2018,Sp Lisbon,Boavista,3,0,"31,64,66",,93,,,1.78,1.35,5.04,10.83
P1,28/10/2018,Tondela,Setubal,1,2,80,"37,76",95,,,2.33,2.76,2.99,3.06
P1,02/11/2018,Benfica,Moreirense,1,3,3,"5,16,36",96,76,,1.46,1.16,8.62,18.97
P1,03/11/2018,Boavista,Guimaraes,0,0,,,93,,,2.26,3.22,3.27,2.45
P1,03/11/2018,Maritimo,Porto,0,2,,"70,73",94,81,,1.89,8.1,4.45,1.45
P1,03/11/2018,Portimonense,Belenenses,1,1,66,93,98,,,1.96,1.81,3.91,4.54
P1,04/11/2018,Feirense,Tondela,2,4,"38,67","7,54,72,84",99,,,2.48,2.51,2.99,3.42
P1,04/11/2018,Santa Clara,Sp Lisbon,1,2,32,"62,75",94,63,,1.87,5.27,3.75,1.75
P1,04/11/2018,Sp Braga,Setubal,2,1,"16,4",18,94,94,,1.7,1.45,4.41,8.52
P1,05/11/2018,Chaves,Aves,1,2,48,"19,56",96,,45,2.06,2.14,3.36,3.84
P1,05/11/2018,Rio Ave,Nacional,3,3,"7,45,67","24,79,89",95,,,1.81,1.49,4.79,6.57
P1,09/11/2018,Moreirense,Portimonense,2,0,"34,56",,98,,,1.93,2.58,3.19,3.09
P1,09/11/2018,Setubal,Feirense,2,1,"20,72",33,94,,,2.38,1.79,3.57,5.29
P1,10/11/2018,Aves,Rio Ave,2,1,"16,45",91,95,,14,1.95,2.92,3.47,2.54
P1,10/11/2018,Belenenses,Boavista,0,0,,,93,,,2.41,2.31,3.32,3.44
P1,10/11/2018,Nacional,Maritimo,1,0,65,,94,,,1.98,2.8,3.17,2.84
