Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
I1,18/08/2018,Chievo,Juventus,2,3,"38,56","3,75,92",96,,,1.7,18.84,6.42,1.22
I1,18/08/2018,Lazio,Napoli,1,2,25,"45,59",94,,,1.68,2.78,3.57,2.59
I1,19/08/2018,Bologna,Spal,0,1,,71,94,89,,2.34,2.31,3.18,3.59
I1,19/08/2018,Empoli,Cagliari,2,0,"14,51",,94,,,2.11,2.54,3.42,2.95
I1,19/08/2018,Parma,Udinese,2,2,"43,59","65,69",94,,,2.21,2.8,3.24,2.78
I1,19/08/2018,Sassuolo,Inter,1,0,27,,95,,,1.83,5.08,3.71,1.79
I1,19/08/2018,Torino,Roma,0,1,,89,96,81,,1.72,3.62,3.55,2.14
I1,20/08/2018,Atalanta,Frosinone,4,0,"14,48,61,91",,92,,,1.81,1.35,5.26,10.54
I1,25/08/2018,Juventus,Lazio,2,0,"30,75",,92,,,1.63,1.51,4.53,7.08
I1,25/08/2018,Napoli,Milan,3,2,"53,67,80","15,49",93,,,1.75,1.65,4.01,5.94
I1,26/08/2018,Cagliari,Sassuolo,2,2,"10,73","53,98",99,,,2.05,2.48,3.3,3.13
I1,26/08/2018,Fiorentina,Chievo,6,1,"8,42,49,71,90,92",76,93,,,1.83,1.45,4.58,8.36
I1,26/08/2018,Frosinone,Bologna,0,0,,,93,,,2.32,3.54,3.12,2.37
I1,26/08/2018,Genoa,Empoli,2,1,6,18,94,,,2.29,2.02,3.58,3.96
I1,26/08/2018,Inter,Torino,2,2,"6,32","55,68",93,,,1.72,1.59,3.98,6.91
I1,26/08/2018,Spal,Parma,1,0,49,,95,,,2.31,2.47,3.01,3.47
I1,26/08/2018,Udinese,Sampdoria,1,0,9,,94,,,1.9,2.27,3.51,3.34
I1,27/08/2018,Roma,Atalanta,3,3,"2,60,82","19,22,38",94,,,1.83,1.57,4.19,6.57
I1,31/08/2018,Milan,Roma,2,1,"40,94",59,95,,,1.75,2.41,3.42,3.14
I1,01/09/2018,Bologna,Inter,0,3,,"66,82,84",93,,,2.01,5.1,3.17,1.94
I1,01/09/2018,Parma,Juventus,1,2,33,"2,58",94,,,1.6,15.41,6.29,1.25
I1,02/09/2018,Atalanta,Cagliari,0,1,,45,95,,,1.79,1.4,5.14,8.4
I1,02/09/2018,Chievo,Empoli,0,0,,,94,,,2.13,3.14,3.29,2.48
I1,02/09/2018,Fiorentina,Udinese,1,0,73,,95,,,1.77,1.74,3.92,5.13
I1,02/09/2018,Lazio,Frosinone,1,0,49,,94,,,1.5,1.25,6.25,14.55
I1,02/09/2018,Sampdoria,Napoli,3,0,"11,32,75",,92,,,1.7,7.18,4.19,1.54
I1,02/09/2018,Sassuolo,Genoa,5,3,"34,38,41,46,62","27,70,83",94,,,2.13,2.3,3.32,3.45
I1,02/09/2018,Torino,Spal,1,0,52,,93,,,1.99,1.68,3.74,6.2
I1,15/09/2018,Frosinone,Sampdoria,0,5,,"10,46,54,83,86",91,,,2.02,3.21,3.09,2.54
I1,15/09/2018,Inter,Parma,0,1,,79,94,,,1.6,1.31,5.47,12.28
I1,15/09/2018,Napoli,Fiorentina,1,0,79,,94,,,1.61,1.44,4.56,8.62
I1,16/09/2018,Cagliari,Milan,1,1,4,55,94,,,1.93,4.99,3.44,1.85
I1,16/09/2018,Empoli,Lazio,0,1,,47,94,,,1.68,5.38,4.1,1.67
I1,16/09/2018,Genoa,Bologna,1,0,69,,98,,96,2.31,2.1,3.24,4.08
I1,16/09/2018,Juventus,Sassuolo,2,1,"50,65",91,93,92,,1.44,1.21,6.94,15.44
I1,16/09/2018,Roma,Chievo,2,2,"10,3","52,83",95,,,1.41,1.22,7.11,14.13
I1,16/09/2018,Udinese,Torino,1,1,28,49,94,,,1.96,2.81,3.28,2.71
I1,17/09/2018,Spal,Atalanta,2,0,"50,56",,95,,,2.03,4.94,3.84,1.76
I1,19/09/2018,Sampdoria,Fiorentina,1,1,60,13,92,,,1.86,2.93,3.36,2.59
I1,21/09/2018,Sassuolo,Empoli,3,1,"13,57,85",1,93,,71,1.84,2.18,3.27,3.83
I1,22/09/2018,Fiorentina,Spal,3,0,"18,28,56",,95,,,1.97,1.68,3.78,5.8
I1,22/09/2018,Parma,Cagliari,2,0,"20,47",,94,,,2.11,2.48,3.36,3.04
I1,22/09/2018,Sampdoria,Inter,0,1,,93,96,,,1.76,4.55,3.64,1.87
I1,23/09/2018,Bologna,Roma,2,0,"36,59",,95,,,1.81,5.84,3.98,1.65
I1,23/09/2018,Chievo,Udinese,0,2,,"76,9",94,,,2.21,2.9,3.09,2.81
I1,23/09/2018,Frosinone,Juventus,0,2,,"81,93",95,,,1.53,18.51,7.16,1.19
I1,23/09/2018,Lazio,Genoa,4,1,"7,23,53,89",46,92,,,1.6,1.48,4.44,7.67
I1,23/09/2018,Milan,Atalanta,2,2,"2,61","54,91",97,,,1.89,2.19,3.27,3.79
I1,23/09/2018,Torino,Napoli,1,3,51,"4,20,59",94,,,1.77,4.46,3.5,1.93
I1,25/09/2018,Inter,Fiorentina,2,1,"45,77",53,95,,,1.81,1.63,3.89,6.34
I1,26/09/2018,Atalanta,Torino,0,0,,,95,,,1.79,1.68,4.16,5.17
I1,26/09/2018,Cagliari,Sampdoria,0,0,,,94,,,1.85,2.31,3.35,3.4
I1,26/09/2018,Genoa,Chievo,2,0,"42,54",,96,,,2.16,1.76,3.69,5.31
I1,26/09/2018,Juventus,Bologna,2,0,"11,16",,93,,,1.54,1.13,9.25,25.76
I1,26/09/2018,Napoli,Parma,3,0,"4,47,84",,93,,,1.52,1.22,6.51,16.35
I1,26/09/2018,Roma,Frosinone,4,0,"2,28,35,87",,92,,,1.42,1.2,7.13,16.11
I1,26/09/2018,Udinese,Lazio,1,2,80,"61,66",96,,,1.81,4.11,3.3,2.08
I1,27/09/2018,Empoli,Milan,1,1,71,10,94,,,1.73,4.88,3.6,1.83
I1,27/09/2018,Spal,Sassuolo,0,2,,"59,9",95,,,2.08,2.46,3.25,3.22
I1,29/09/2018,Inter,Cagliari,2,0,"12,89",,94,,,1.59,1.4,4.86,9.07
I1,29/09/2018,Juventus,Napoli,3,1,"26,49,76",10,95,,58,1.96,1.86,3.43,5.03
I1,29/09/2018,Roma,Lazio,3,1,"45,71,86",67,93,,,1.61,2.68,3.58,2.68
I1,30/09/2018,Bologna,Udinese,2,1,"42,82",32,93,,,2.42,2.73,3.11,2.97
I1,30/09/2018,Chievo,Torino,0,1,,88,94,,,2.12,4.05,3.33,2.09
I1,30/09/2018,Fiorentina,Atalanta,2,0,"62,93",,95,,,1.9,2.39,3.44,3.17
I1,30/09/2018,Frosinone,Genoa,1,2,"33,36",41,92,,,2.18,3.59,3.37,2.22
I1,30/09/2018,Parma,Empoli,1,0,33,,93,,,2.02,2.5,3.45,2.99
I1,30/09/2018,Sassuolo,Milan,1,4,68,"39,50,60,93",94,,,1.78,3.54,3.61,2.15
I1,01/10/2018,Sampdoria,Spal,2,1,"25,6",21,95,,,1.93,1.79,3.65,5.11
I1,05/10/2018,Torino,Frosinone,3,2,"20,46,71","58,64",93,,,1.88,1.46,4.31,8.67
I1,06/10/2018,Cagliari,Bologna,2,0,"22,68",,93,,,2.28,2.1,3.24,4.14
I1,06/10/2018,Empoli,Roma,0,2,,"36,85",93,,,1.65,4.6,4.14,1.76
I1,06/10/2018,Udinese,Juventus,0,2,,"33,37",94,,,1.78,12.24,5.37,1.31
I1,07/10/2018,Atalanta,Sampdoria,0,1,,76,93,,,1.73,1.57,4.28,6.25
I1,07/10/2018,Genoa,Parma,1,3,6,"16,26,30",93,,,2,1.75,3.66,5.4
I1,07/10/2018,Lazio,Fiorentina,1,0,37,,93,,,1.75,1.79,3.83,4.83
I1,07/10/2018,Milan,Chievo,3,1,"27,34,56",63,93,,,1.61,1.23,6.41,15.22
I1,07/10/2018,Napoli,Sassuolo,2,0,"3,72",,93,,87,1.44,1.39,4.99,8.76
I1,07/10/2018,Spal,Inter,1,2,72,"14,78",94,,,2.03,7.21,3.98,1.56
I1,20/10/2018,Juventus,Genoa,1,1,18,67,94,,,1.53,1.16,8.09,22.21
I1,20/10/2018,Roma,Spal,0,2,,"38,56",94,,,1.54,1.3,6.04,10.29
I1,20/10/2018,Udinese,Napoli,0,3,,"14,82,85",94,,,1.9,7.2,3.95,1.56
I1,21/10/2018,Bologna,Torino,2,2,"59,77","13,54",95,,,2.33,3.29,3.1,2.51
I1,21/10/2018,Chievo,Atalanta,1,5,84,"25,28,50,52,72",91,,,2.05,5.95,4.16,1.61
I1,21/10/2018,Fiorentina,Cagliari,1,1,60,69,100,,,1.87,1.65,3.81,6.3
I1,21/10/2018,Frosinone,Empoli,3,3,"8,54,63","32,48,79",95,,,1.97,3.22,3.38,2.39
I1,21/10/2018,Inter,Milan,1,0,91,,94,,,1.87,2.52,3.23,3.13
I1,21/10/2018,Parma,Lazio,0,2,,"81,93",94,,,1.74,6.17,4.22,1.58
I1,22/10/2018,Sampdoria,Sassuolo,0,0,,,94,,,1.75,2.27,3.42,3.42
I1,27/10/2018,Atalanta,Parma,3,0,"55,72,80",,94,,,1.65,1.33,5.73,9.36
I1,27/10/2018,Empoli,Juventus,1,2,28,"54,7",94,,,1.64,11.67,5.57,1.3
I1,27/10/2018,Torino,Fiorentina,1,1,13,2,94,30,,2.01,2.4,3.25,3.34
I1,28/10/2018,Cagliari,Chievo,2,1,"15,59",79,93,,,2.07,1.61,3.82,6.85
I1,28/10/2018,Genoa,Udinese,2,2,"32,67","65,7",96,74,,2.22,2.09,3.54,3.77
I1,28/10/2018,Milan,Sampdoria,3,2,"17,36,62","21,31",94,,,1.69,1.51,4.54,6.76
