Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
I1,01/10/17,Benevento,Inter,1,2,42,"19,22",95,,,1.55,10.78,5.91,1.32
I1,01/10/17,Chievo,Fiorentina,2,1,"25,46",6,94,,,2.04,2.99,3.39,2.56
I1,01/10/17,Lazio,Sassuolo,6,1,"46,56,57,64,69,81",27,92,,,1.58,1.53,4.5,6.93
I1,01/10/17,Milan,Roma,0,2,,"72,77",93,80,,1.69,2.68,3.62,2.7
I1,01/10/17,Napoli,Cagliari,3,0,"4,40,47",,91,,,1.25,1.14,10.73,21.65
I1,01/10/17,Spal,Crotone,1,1,39,59,94,,,2.2,1.93,3.43,4.76
I1,01/10/17,Torino,Verona,2,2,"31,44","87,91",98,,96,1.5,1.29,6.2,11.88
I1,14/10/17,Juventus,Lazio,1,2,23,"47,54",96,,,1.78,1.58,4.2,6.67
I1,14/10/17,Roma,Napoli,0,1,,20,95,,,1.53,3.32,3.74,2.22
I1,15/10/17,Bologna,Spal,2,1,"30,49",88,94,,,2.34,2.04,3.28,4.44
I1,15/10/17,Cagliari,Genoa,2,3,"48,79","8,35,75",94,,,2.02,2.53,3.22,3.19
I1,15/10/17,Crotone,Torino,2,2,"25,64","54,91",94,,,1.91,3.54,3.36,2.27
I1,15/10/17,Fiorentina,Udinese,2,1,"28,57",72,93,,,1.69,1.62,4.25,6
I1,15/10/17,Inter,Milan,3,2,"28,63,90","56,81",94,,,1.77,2.29,3.24,3.64
I1,15/10/17,Sampdoria,Atalanta,3,1,"56,59,68",21,93,,,1.83,3.37,3.36,2.35
I1,15/10/17,Sassuolo,Chievo,0,0,,,92,,,2.09,2.25,3.31,3.65
I1,16/10/17,Verona,Benevento,1,0,74,,95,,37,2.01,1.89,3.75,4.43
I1,21/10/17,Napoli,Inter,0,0,,,93,,,1.5,1.49,4.89,6.99
I1,21/10/17,Sampdoria,Crotone,5,0,"3,11,38,71,76",,91,,,1.84,1.54,4.34,7.04
I1,22/10/17,Atalanta,Bologna,1,0,71,,94,,80,1.94,1.61,4.06,6.53
I1,22/10/17,Benevento,Fiorentina,0,3,,"18,47,66",95,,,1.69,6.19,4.77,1.54
I1,22/10/17,Chievo,Verona,3,2,"23,30,73","6,55",93,,40,2.06,2.15,3.39,3.83
I1,22/10/17,Lazio,Cagliari,3,0,"7,41,49",,92,,,1.43,1.26,6.93,12.35
I1,22/10/17,Milan,Genoa,0,0,,,93,25,,1.66,1.65,4.04,6.06
I1,22/10/17,Spal,Sassuolo,0,1,,1,95,,89,2.03,3,3.53,2.48
I1,22/10/17,Torino,Roma,0,1,,69,93,,,1.5,3.92,3.84,1.98
I1,22/10/17,Udinese,Juventus,2,6,"8,47","14,20,52,59,87,90",91,51,,1.95,9.47,4.85,1.41
I1,24/10/17,Inter,Sampdoria,3,2,"18,32,54","64,85",93,,,1.55,1.45,4.9,7.91
I1,25/10/17,Atalanta,Verona,3,0,"50,59,75",,93,,,1.69,1.31,5.96,11.41
I1,25/10/17,Bologna,Lazio,1,2,50,"4,28",94,,,1.84,4.85,3.81,1.81
I1,25/10/17,Cagliari,Benevento,2,1,"9,94",93,96,,,1.73,1.7,4.12,5.43
I1,25/10/17,Chievo,Milan,1,4,61,"36,42,55,64",93,,,2.06,3.54,3.41,2.25
I1,25/10/17,Fiorentina,Torino,3,0,"29,66,75",,92,,73,1.52,1.75,4.08,5.03
I1,25/10/17,Genoa,Napoli,2,3,"4,76","14,30,60",93,,,1.6,8.57,5.2,1.41
I1,25/10/17,Juventus,Spal,4,1,"14,22,65,70",34,94,,,1.5,1.12,10.03,31.23
I1,25/10/17,Roma,Crotone,1,0,10,,94,,,1.39,1.18,8.12,19.46
I1,25/10/17,Sassuolo,Udinese,0,1,,32,95,,,1.85,1.88,3.63,4.67
I1,28/10/17,Milan,Juventus,0,2,,"23,63",93,,,1.96,4.23,3.63,1.96
I1,28/10/17,Roma,Bologna,1,0,33,,94,,,1.48,1.33,5.64,10.81
I1,29/10/17,Benevento,Lazio,1,5,55,"4,13,24,76,86",91,,,1.46,10.23,6.06,1.32
I1,29/10/17,Crotone,Fiorentina,2,1,"17,18",44,94,,,1.79,5.71,4.12,1.66
I1,29/10/17,Napoli,Sassuolo,3,1,"22,44,54",41,94,,,1.3,1.15,10,20.5
I1,29/10/17,Sampdoria,Chievo,4,1,"20,26,44,85",24,95,,72,1.97,2.18,3.49,3.64
I1,29/10/17,Spal,Genoa,1,0,56,,94,,,2.19,3.12,3.17,2.6
I1,29/10/17,Torino,Cagliari,2,1,"40,66",30,96,,,1.56,1.58,4.5,6.06
I1,29/10/17,Udinese,Atalanta,2,1,"46,68",29,94,,,1.9,3.94,3.55,2.07
I1,30/10/17,Verona,Inter,1,2,59,"36,67",95,,,1.63,9.2,5.4,1.38
I1,04/11/17,Bologna,Crotone,2,3,"38,46","42,68,70",95,,,2.29,1.78,3.56,5.67
I1,04/11/17,Genoa,Sampdoria,0,2,,"24,84",93,,,2.02,2.58,3.32,3.02
I1,05/11/17,Atalanta,Spal,1,1,23,64,94,69,,1.64,1.41,4.94,9.33
I1,05/11/17,Cagliari,Verona,2,1,"28,85",6,95,,,1.83,1.83,3.77,4.76
I1,05/11/17,Chievo,Napoli,0,0,,,95,,,1.55,7.74,4.92,1.45
I1,05/11/17,Fiorentina,Roma,2,4,"9,39","5,30,87",93,,,1.59,3.32,3.75,2.22
I1,05/11/17,Inter,Torino,1,1,79,59,94,,,1.56,1.63,4.33,5.74
I1,05/11/17,Juventus,Benevento,2,1,"57,65",19,93,,,1.25,1.06,17,50
I1,05/11/17,Sassuolo,Milan,0,2,,"39,67",93,,,1.88,4.27,3.76,1.92
I1,18/11/17,Napoli,Milan,2,1,"33,73",91,94,,,1.52,1.47,4.87,7.47
I1,18/11/17,Roma,Lazio,2,1,"49,53",72,96,,,1.56,2.24,3.64,3.3
I1,19/11/17,Benevento,Sassuolo,1,2,65,"57,93",67,,,1.87,3.2,3.46,2.39
I1,19/11/17,Crotone,Genoa,0,1,,11,93,,,2.25,3.26,3.18,2.51
I1,19/11/17,Inter,Atalanta,2,0,"51,6",,94,,,1.68,1.91,3.49,4.81
I1,19/11/17,Sampdoria,Juventus,3,2,"52,71,79","91,93",96,,,1.74,6.84,4.09,1.59
I1,19/11/17,Spal,Fiorentina,1,1,42,80,94,91,,1.81,4.13,3.61,2
I1,19/11/17,Torino,Chievo,1,1,33,14,95,,88,1.72,1.77,3.91,5.04
I1,19/11/17,Udinese,Cagliari,0,1,,54,100,98,,1.78,2.01,3.6,4.09
I1,20/11/17,Verona,Bologna,2,3,"12,33","22,74,76",94,,,2.16,3.43,3.26,2.37
I1,25/11/17,Bologna,Sampdoria,3,0,"3,23,73",,93,,,1.92,2.5,3.34,3.11
I1,25/11/17,Cagliari,Inter,1,3,71,"29,55,83",95,,,1.67,5.48,4.1,1.68
I1,25/11/17,Chievo,Spal,2,1,"66,81",17,94,,,2.03,1.78,3.65,5.49
I1,25/11/17,Sassuolo,Verona,0,2,,"22,31",95,,66,1.74,1.7,4.08,5.3
I1,26/11/17,Genoa,Roma,1,1,70,59,96,,69,1.71,5.26,3.9,1.74
